"Vote Type (FOR=1,AGAINST=2)","Candidate Name","Party","Office Name","Office District","Winner","Write-In?", CONC 002,CONC 001,CONC 003
1,"Barack Obama",DEM,President - Vice Pres,,Y,,793,758,742
1,"Mitt Romney",REP,President - Vice Pres,,,,3156,2412,2506
1,"Gary Johnson",LIB,President - Vice Pres,,,,36,51,37
1,"Jill Stein",GRN,President - Vice Pres,,,,41,20,18
1,"Tiffany Renee Briscoe",DEM,President - Vice Pres,,,Y,0,0,0
1,"Dennis Knill",DEM,President - Vice Pres,,,Y,0,0,0
1,"Matthew Lydick",REP,President - Vice Pres,,,Y,0,0,0
1,"Barbara A. Prokopich",REP,President - Vice Pres,,,Y,0,0,0
1,"Santa Claus",IND,President - Vice Pres,,,Y,1,2,1
1,"Richard Duncan",IND,President - Vice Pres,,,Y,0,0,0
1,"Bruce Mlynski",IND,President - Vice Pres,,,Y,0,0,0
1,"Kevin M. Thorne",IND,President - Vice Pres,,,Y,0,0,0
1,"James Clymer",CON,President - Vice Pres,,,Y,0,0,0
1,"Virgil Goode",CON,President - Vice Pres,,,Y,0,1,1
1,"Ross C. Rocky Anderson",OTH,President - Vice Pres,,,Y,0,0,0
1,"Andre Barnett",OTH,President - Vice Pres,,,Y,0,0,0
1,"Roseanne Barr",OTH,President - Vice Pres,,,Y,1,1,0
1,"Will Christensen",OTH,President - Vice Pres,,,Y,0,0,0
1,"Stephen Durham",OTH,President - Vice Pres,,,Y,0,0,0
1,"Merlin Miller",OTH,President - Vice Pres,,,Y,0,0,0
1,"Leon Leo Ray",OTH,President - Vice Pres,,,Y,0,0,0
1,"Michael David Boyles",UNF,President - Vice Pres,,,Y,0,0,0
1,"Theodis (Ted) Brown, Sr.",UNF,President - Vice Pres,,,Y,0,0,0
1,"Paul Chehade",UNF,President - Vice Pres,,,Y,0,0,0
1,"David M. Crosby",UNF,President - Vice Pres,,,Y,0,0,0
1,"Fred Donald Dickson, Jr.",UNF,President - Vice Pres,,,Y,0,0,0
1,"Robert William Dietz",UNF,President - Vice Pres,,,Y,0,0,0
1,"Dwight Kenneth French",UNF,President - Vice Pres,,,Y,0,0,0
1,"Darrell Hykes",UNF,President - Vice Pres,,,Y,0,0,0
1,"Nelson Keyton",UNF,President - Vice Pres,,,Y,0,0,0
1,"Dean Morstad",UNF,President - Vice Pres,,,Y,0,0,0
1,"Deonia Neveu",UNF,President - Vice Pres,,,Y,0,0,0
1,"Terrance James O'Hara",UNF,President - Vice Pres,,,Y,0,0,0
1,"Jill Reed",UNF,President - Vice Pres,,,Y,0,0,0
1,"Cecil James Roth",UNF,President - Vice Pres,,,Y,0,0,0
1,"Sheila Tittle",UNF,President - Vice Pres,,,Y,0,0,0
1,"Other Write-Ins",BOT,President - Vice Pres,,,Y,8,15,10
1,"Ben Cardin",DEM,U.S. Senator           ,,Y,,965,838,806
1,"Daniel John Bongino",REP,U.S. Senator           ,,,,2609,2033,2151
1,"Dean Ahmad",LIB,U.S. Senator           ,,,,54,45,40
1,"S. Rob Sobhani",UNF,U.S. Senator           ,,,,189,137,93
1,"Lih Young",DEM,U.S. Senator           ,,,Y,0,0,0
1,"Mary Podlesak",REP,U.S. Senator           ,,,Y,0,0,0
1,"Brandy Baker",UNF,U.S. Senator           ,,,Y,0,0,0
1,"Ed Tinus",UNF,U.S. Senator           ,,,Y,0,0,0
1,"Other Write-Ins",BOT,U.S. Senator           ,,,Y,1,3,1
1,"John Delaney",DEM,U.S. Congress,06,Y,,1131,1014,895
1,"Roscoe G. Bartlett",REP,U.S. Congress,06,,,2666,2053,2181
1,"Nickolaus Mueller",LIB,U.S. Congress,06,,,112,103,105
1,"Other Write-Ins",BOT,U.S. Congress,06,,Y,3,1,0
1,"Lynne A. Battaglia",BOT,Appellate Judge,03,Y,,2507,2066,2017
2,"Lynne A. Battaglia",BOT,Appellate Judge,03,Y,,614,545,534
1,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,2507,2045,1991
2,"Stuart R. Berger",BOT,Judge Spec Appeal at Lg,,Y,,573,537,519
1,"Gary L. Barlow",NON,Board of Ed at Large,,,,1197,1060,1063
1,"Cindy Downton",NON,Board of Ed at Large,,Y,,1940,1043,1134
1,"Darlena M. Grady",NON,Board of Ed at Large,,,,718,1084,1100
1,"Charlotte Sebold",NON,Board of Ed at Large,,Y,,2288,1630,1666
1,"Other Write-Ins",NON,Board of Ed at Large,,,Y,18,33,14
