"Candidate Name","Party","Office Name","Office District","Winner","Write-In?","Election Night Votes","Election Night Votes Against","Absentees Votes","Absentees Votes Against","Provisional Votes","Provisional Votes Against","2nd Absentees Votes","2nd Absentees Votes Against","Total Votes","Total Votes Against"
"Barack Obama","DEM","President - Vice Pres","","Y","","250753","","14377","","13217","","3002","","347938",""
"Mitt Romney","REP","President - Vice Pres","","","","29442","","2327","","836","","335","","35734",""
"Gary Johnson","LIB","President - Vice Pres","","","","1407","","81","","92","","26","","1732",""
"Jill Stein","GRN","President - Vice Pres","","","","1063","","88","","57","","6","","1332",""
"Tiffany Renee Briscoe","DEM","President - Vice Pres","","","Y","4","0","0","","0","","0","","4",""
"Dennis Knill","DEM","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Matthew Lydick","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Barbara A. Prokopich","REP","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Santa Claus","IND","President - Vice Pres","","","Y","14","0","1","","0","","0","","19",""
"Richard Duncan","IND","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Bruce Mlynski","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Kevin M. Thorne","IND","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"James Clymer","CON","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Virgil Goode","CON","President - Vice Pres","","","Y","19","0","0","","0","","0","","20",""
"Ross C. Rocky Anderson","OTH","President - Vice Pres","","","Y","7","0","0","","0","","0","","7",""
"Andre Barnett","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"Roseanne Barr","OTH","President - Vice Pres","","","Y","4","0","0","","0","","0","","4",""
"Will Christensen","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Stephen Durham","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Merlin Miller","OTH","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Leon Leo Ray","OTH","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Michael David Boyles","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Theodis (Ted) Brown, Sr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Paul Chehade","UNF","President - Vice Pres","","","Y","4","0","0","","0","","0","","4",""
"David M. Crosby","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","2",""
"Fred Donald Dickson, Jr.","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Robert William Dietz","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Dwight Kenneth French","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Darrell Hykes","UNF","President - Vice Pres","","","Y","3","0","0","","0","","0","","3",""
"Nelson Keyton","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Dean Morstad","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Deonia Neveu","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Terrance James O'Hara","UNF","President - Vice Pres","","","Y","0","","0","","0","","0","","0",""
"Jill Reed","UNF","President - Vice Pres","","","Y","1","0","0","","0","","0","","1",""
"Cecil James Roth","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Sheila Tittle","UNF","President - Vice Pres","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","President - Vice Pres","","","Y","752","0","50","","26","","8","","935",""
"Ben Cardin","DEM","U.S. Senator           ","","Y","","218430","","13476","","11152","","2754","","305771",""
"Daniel John Bongino","REP","U.S. Senator           ","","","","20205","","1717","","685","","267","","25080",""
"Dean Ahmad","LIB","U.S. Senator           ","","","","2835","","122","","149","","37","","3521",""
"S. Rob Sobhani","UNF","U.S. Senator           ","","","","32779","","1111","","1194","","232","","40937",""
"Lih Young","DEM","U.S. Senator           ","","","Y","12","0","0","","0","","0","","15",""
"Mary Podlesak","REP","U.S. Senator           ","","","Y","0","0","1","","0","","0","","1",""
"Brandy Baker","UNF","U.S. Senator           ","","","Y","13","0","0","","0","","0","","13",""
"Ed Tinus","UNF","U.S. Senator           ","","","Y","0","0","0","","0","","0","","0",""
"Other Write-Ins","BOT","U.S. Senator           ","","","Y","235","0","18","","14","","0","","310",""
"Donna F. Edwards","DEM","U.S. Congress","04","Y","","147167","","8437","","7102","","1695","","204051",""
"Faith M. Loudon","REP","U.S. Congress","04","","","9790","","909","","297","","118","","12198",""
"Scott Soffen","LIB","U.S. Congress","04","","","2098","","116","","84","","19","","2597",""
"Other Write-Ins","BOT","U.S. Congress","04","","Y","178","","17","","8","","1","","237",""
"Steny H. Hoyer","DEM","U.S. Congress","05","Y","","92931","","5657","","3303","","1206","","127690",""
"Tony O'Donnell","REP","U.S. Congress","05","","","15786","","1074","","379","","189","","18957",""
"Arvin Vohra","LIB","U.S. Congress","05","","","1432","","84","","72","","13","","1746",""
"Bob Auerbach","GRN","U.S. Congress","05","","","1850","","98","","64","","28","","2279",""
"Other Write-Ins","BOT","U.S. Congress","05","","Y","151","","9","","7","","0","","195",""
"Krystal Alves","BOT","Judge Circuit Court","07","Y","","168992","","9931","","5573","","1789","","232433",""
"DaNeeka Varner Cotton","BOT","Judge Circuit Court","07","Y","","146756","","8973","","4200","","1604","","203176",""
"John P. Davey","BOT","Judge Circuit Court","07","Y","","145385","","8600","","3673","","1473","","199558",""
"Hassan A. El-Amin","BOT","Judge Circuit Court","07","Y","","129643","","7716","","2874","","1283","","179535",""
"Sherrie L. Krauser","BOT","Judge Circuit Court","07","Y","","144745","","8801","","3518","","1524","","199451",""
"Other Write-Ins","BOT","Judge Circuit Court","07","","Y","1904","","150","","67","","21","","2439",""
"Stuart R. Berger","BOT","Judge Spec Appeal at Lg","","Y","","196578","28337","11861","1154","8557","1692","2222","262","268807","37096"
"Michele D. Hotten","BOT","Judge Spec Appeals","04","Y","","214845","23484","12227","927","8981","1287","2333","186","293909","30253"
"Zabrina Epps","NON","Board of Education     ","001","Y","","13492","","758","","680","","82","","17621",""
"David Murray","NON","Board of Education     ","001","","","13765","","820","","471","","39","","17165",""
"Other Write-Ins","NON","Board of Education     ","001","","Y","69","","2","","3","","1","","83",""
"Patricia Eubanks","NON","Board of Education     ","004","Y","","12799","","675","","479","","118","","16825",""
"Micah Watson","NON","Board of Education     ","004","","","11030","","435","","259","","104","","13787",""
"Other Write-Ins","NON","Board of Education     ","004","","Y","42","","2","","4","","0","","59",""
"Raaheela Ahmed","NON","Board of Education     ","005","","","16002","","1127","","541","","237","","23652",""
"Jeana Jacobs","NON","Board of Education     ","005","Y","","17835","","1444","","547","","302","","26545",""
"Other Write-Ins","NON","Board of Education     ","005","","Y","80","","9","","5","","1","","109",""
"Henry P. Armwood, Jr.","NON","Board of Education     ","007","","","10853","","565","","384","","85","","15039",""
"Carletta Fellows","NON","Board of Education     ","007","Y","","15959","","690","","714","","143","","21165",""
"Other Write-Ins","NON","Board of Education     ","007","","Y","42","","4","","5","","0","","65",""
"Edward Burroughs, III","NON","Board of Education     ","008","Y","","24399","","1093","","810","","207","","33385",""
"André Nottingham","NON","Board of Education     ","008","","","6539","","348","","228","","101","","8242",""
"Other Write-Ins","NON","Board of Education     ","008","","Y","83","","2","","6","","0","","102",""
